Industries,RUS
"Agriculture, hunting, forestry",0.0102346223716193
"Fishing and aquaculture",0.0319736059152876
"Mining and quarrying, energy producing products",8.70167155012685
"Mining and quarrying, non-energy producing products",0.517267931115414
"Mining support service activities",2.01383135520281
"Food products, beverages and tobacco",0.0136518710370041
"Textiles, textile products, leather and footwear",0.0820941034738106
"Wood and products of wood and cork",0.168149476163412
"Paper products and printing",0.118744609250828
"Coke and refined petroleum products",0.198001460246544
"Chemical and chemical products",0.169927003827789
"Pharmaceuticals, medicinal chemical and botanical products",0.0251712722948932
"Rubber and plastics products",0.395426596687859
"Other non-metallic mineral products",0.296875149609398
"Basic metals",0.28823858090489
"Fabricated metal products",0.310614409848667
"Computer, electronic and optical equipment",0.144453767975337
"Electrical equipment",0.379506947137773
"Machinery and equipment, nec ",0.451943531341038
"Motor vehicles, trailers and semi-trailers",0.125082841009252
"Other transport equipment",0.289058146618083
"Manufacturing nec; repair and installation of machinery and equipment",0.800981883027663
"Electricity, gas, steam and air conditioning supply",0.379171459580758
"Water supply; sewerage, waste management and remediation activities",0.284823191928074
"Construction",0.243719293058806
"Wholesale and retail trade; repair of motor vehicles",0.195197021453182
"Land transport and transport via pipelines",1.20603681117413
"Water transport",0.723504953350847
"Air transport",0.37429060780111
"Warehousing and support activities for transportation",0.781614514003051
"Postal and courier activities",0.163596656439392
"Accommodation and food service activities",0.0771503614431908
"Publishing, audiovisual and broadcasting activities",0.109988977028724
"Telecommunications",0.0434314283332399
"IT and other information services",0.219438791265382
"Financial and insurance activities",0.283841079310796
"Real estate activities",0.0378441830443599
"Professional, scientific and technical activities",0.298416980404321
"Administrative and support services",1.00687329167769
"Public administration and defence; compulsory social security",0.0225537227657699
"Education",0.0241916334850699
"Human health and social work activities",0.0130016976902642
"Arts, entertainment and recreation",0.00653347623327609
"Other service activities",0.0168403762431729
"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use",0
"Total Impact",1.17394989366847
