industries,AUT,BEL,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,SVK,SVN,ESP,SWE,GBR,BGR,HRV,CYP,MLT,ROU
"Agriculture, hunting, forestry",0.0550810613005521,0.0537880156643844,0.175268920036918,0.0503454864898554,0.104506811346711,0.140985193822132,0.0399573206109427,0.075441316379663,0.0953373057829707,0.209724687300247,0.0216549000511454,0.0692255147343586,0.289625570613755,0.330605421978902,0.0199064490158965,0.0817238017494936,0.188368100702932,0.0415691892846728,0.196515940445837,0.0589490986910826,0.0186500015535036,0.103220633031681,0.0371083232745697,0.602441589753231,0.06804092936465,0.0184910903985027,0.0255025270911126,0.102647305311681
"Fishing and aquaculture",0.0674897178991786,0.144347338640171,0.236655146743169,0.0940293981075627,0.158422693782764,0.212214296014151,0.0703345202424051,0.0667868430306297,0.0937833819359004,0.291234004389754,0.0241775109393195,0.119503817259129,0.265996612800494,0.878037774082295,NaN,0.0958202092617706,0.304379992335654,0.0750447588217706,0.393450661249592,0.0651896412646291,0.0459170678724644,0.172734282430613,0.0314873527597748,0.470585815351139,0.098659466328157,0.0130793666427833,0.0672553166988513,0.0747739719893985
"Mining and quarrying, energy producing products",0.159617735664432,NaN,0.212160669578627,0.0379190672220967,0.17473725688176,0.199454995302224,0.0119824366644198,0.967241248316373,0.0920548909453801,0.55685947069045,0.0790089843854991,0.317404763098553,0.57325642709951,1.23806059671844,NaN,0.0935259528449634,0.354712758033071,NaN,0.909231543813469,0.229760867487186,0.0106167194684052,0.490426824833157,0.0341027811173578,2.57530512380131,1.02855509611888,0.152624037000119,0.0465412264479493,0.133338764946082
"Mining and quarrying, non-energy producing products",0.124673256635337,0.10253954336303,0.326177084896897,0.109137600760988,0.16103156183111,0.191977289866465,0.066710317258375,0.0981253001195954,0.045156461400566,0.309659907853355,0.03467651919786,0.0843773420483606,0.273470124693934,1.96952205774651,0.0682799643313695,0.290628922237897,1.11405149570308,0.105209125845523,1.34787702725957,0.383399369673987,0.0636175571560612,0.0806422139525018,0.0467038481733587,0.861000656057837,0.402097373938468,0.132653920303932,0.0650070254135041,0.178491529594416
"Mining support service activities",0.0752362328818832,0.128572822912874,0.776044004180567,0.0574941805696334,0.158693638122782,0.13706297925164,0.0225568639600209,0.0746337685906109,0.152814098505903,0.307250637618859,0.0428602238327163,0.0335290768675802,0.293683661732227,0.348021799202834,0.0585000558217992,0.338031666088056,0.0339309512085659,0.136421323806894,0.168095227745456,0.790199299103479,0.0661756165224475,0.147624325189346,0.0216882019726609,1.43505210149087,0.459069800028106,0.188429724842482,0.0301087933127698,0.217124778774711
"Food products, beverages and tobacco",0.0707459187642837,0.0681686601361131,0.259785832492629,0.0670524195847068,0.138110911088533,0.150411535128909,0.0560657817532098,0.113249484999814,0.129046968560115,0.485826569513974,0.0290969956880747,0.13163737206187,0.351975736754717,0.450749581365902,0.035107838286451,0.088460278162336,0.222367163581886,0.0711416623016145,0.296284554486452,0.125772522518447,0.0375066558237218,0.0955746493509263,0.0352614200672294,1.96756014064786,0.172600465624534,0.0468378986146387,0.0554462845551288,0.123362877765929
"Textiles, textile products, leather and footwear",0.0831253350745261,0.0885017709091651,0.35690842053231,0.0803249025031449,0.121309694719589,0.117156949086825,0.0612447256914118,0.151750015960201,0.13330358343251,0.374347435436291,0.0410985193768654,0.0875877902935894,0.819322671394473,0.697980614611836,0.0518921278869849,0.182190800382075,0.227525990886508,0.0633218730677911,0.292935538526165,0.149431987800481,0.0323279661989584,0.101162185871596,0.0254967702846466,0.825542060049743,0.155836060089675,0.0367858739924354,0.109937432182423,0.150324077733505
"Wood and products of wood and cork",0.0998190713992445,0.0838234341831177,0.329050335274264,0.0768255140038421,0.159328983795511,0.235383255615111,0.0625864825587927,0.130617690841717,0.20467518244067,0.375327739982797,0.0484118771836063,0.124363377511187,0.373407028319147,0.490755153239327,0.0852782438896715,0.0809343551972739,0.309949568271903,0.089032763051111,0.228477940208077,0.191758854023377,0.0687820635087965,0.316446984520149,0.0537746251314238,1.22351323126478,0.11554309621075,0.0441815625153703,0.0480346746457116,0.214704511850773
"Paper products and printing",0.101198433165351,0.0895453982447292,0.313583581157356,0.0669632375217291,0.168930070500531,0.206072703060988,0.0810498166074713,0.18554184672081,0.120718052034245,0.319133197199746,0.0235310042403047,0.124593742647579,0.285247715313293,1.12027188835628,0.087053133195064,0.115208937181955,0.253076196803233,0.0984372150317692,0.426116722307978,0.579521950148709,0.0583053486113157,0.139722154671964,0.0420030910559298,1.9896446113361,0.129157759184055,0.041961024882517,0.058684913478102,0.178104257722846
"Coke and refined petroleum products",0.350993366548396,0.39048392980322,3.32909874967121,0.38553675423688,0.731429115493928,5.15582033862098,1.32986757731381,1.32386745891927,1.34366259214793,4.76221874013178,0.0290754851820361,1.84296870815434,4.54549013371039,6.37199281462321,NaN,2.42051156128428,3.90260244442157,1.25027610974695,8.52233178471878,1.99152129485402,0.264366962095452,3.20376509737047,0.399819170984441,8.5258147925803,1.08523118296355,0.0216438162303292,0.0579425172640262,1.5740207143719
"Chemical and chemical products",0.18151658520182,0.146259550229706,4.78539176848378,0.0663667269788788,0.176515393758654,0.17109955070467,0.17058753903911,0.2033546810773,0.242843738622564,1.38107559349424,0.0277337784807663,0.401951506580781,0.444260669361993,0.555472124145618,0.0736836909988299,0.3230038867181,0.86359797762006,0.15770409871036,0.692525893413763,0.327705410266856,0.0916478465996135,0.107753615887724,0.0784588484107143,3.89539696188588,0.222147661712181,0.0720702996345766,0.072924985144907,0.371600429152421
"Pharmaceuticals, medicinal chemical and botanical products",0.0437244142018954,0.0257799008555041,0.138646130327159,0.0156874712461791,0.128913132427021,0.0290463055678265,0.0328389884816897,0.0508497097386644,0.0612498926623704,0.265021218272787,0.0128249682713729,0.0969992483843714,0.179920585928346,0.190377279558667,0.0369936887432254,0.0421770674366821,0.0833953429390175,0.0477043080852304,0.310848731668899,0.054368703281992,0.031933568134689,0.0373193630993118,0.0161041401424718,2.25957821614053,0.0761482305953932,0.0354760690786803,0.0703790416333259,0.120472632812168
