Industries,RUS
"Agriculture, hunting, forestry",0.010234622371617276
Fishing and aquaculture,0.031973605915287646
"Mining and quarrying, energy producing products",8.701671550126857
"Mining and quarrying, non-energy producing products",0.5172679311153947
Mining support service activities,2.013831355202802
"Food products, beverages and tobacco",0.013651871037004111
"Textiles, textile products, leather and footwear",0.08209410347379663
Wood and products of wood and cork,0.1681494761634036
Paper products and printing,0.11874460925083585
Coke and refined petroleum products,0.1980014602465379
Chemical and chemical products,0.16992700382776624
"Pharmaceuticals, medicinal chemical and botanical products",0.025171272294904512
Rubber and plastics products,0.39542659668784635
Other non-metallic mineral products,0.2968751496093941
Basic metals,0.28823858090488647
Fabricated metal products,0.3106144098486535
"Computer, electronic and optical equipment",0.1444537679753374
Electrical equipment,0.3795069471377977
"Machinery and equipment, nec ",0.4519435313410422
"Motor vehicles, trailers and semi-trailers",0.12508284100925982
Other transport equipment,0.2890581466180833
Manufacturing nec; repair and installation of machinery and equipment,0.800981883027659
"Electricity, gas, steam and air conditioning supply",0.37917145958077525
"Water supply; sewerage, waste management and remediation activities",0.2848231919280744
Construction,0.2437192930588064
Wholesale and retail trade; repair of motor vehicles,0.19519702145318527
Land transport and transport via pipelines,1.2060368111741315
Water transport,0.72350495335085
Air transport,0.3742906078010962
Warehousing and support activities for transportation,0.781614514003044
Postal and courier activities,0.16359665643940263
Accommodation and food service activities,0.0771503614431988
"Publishing, audiovisual and broadcasting activities",0.10998897702872384
Telecommunications,0.043431428333237765
IT and other information services,0.21943879126538166
Financial and insurance activities,0.2838410793107727
Real estate activities,0.037844183044358715
"Professional, scientific and technical activities",0.2984169804043324
Administrative and support services,1.0068732916776977
Public administration and defence; compulsory social security,0.022553722765775504
Education,0.02419163348506987
Human health and social work activities,0.013001697690269758
"Arts, entertainment and recreation",0.006533476233276089
Other service activities,0.01684037624317292
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
Total Impact,[1.17394989]
