Industries,AUT,BEL,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,SVK,SVN,ESP,SWE,GBR,BGR,HRV,CYP,MLT,ROU
"Agriculture, hunting, forestry",0.05508106130055416,0.053788015664372094,0.17526892003691136,0.05034548648986775,0.10450681134671078,0.1409851938221281,0.03995732061094682,0.07544131637965686,0.09533730578297685,0.20972468730024885,0.02165490005115775,0.06922551473435036,0.28962557061376765,0.3306054219788979,0.01990644901590066,0.08172380174951623,0.18836810070293164,0.0415691892846728,0.1965159404458202,0.05894909869108674,0.01865000155350359,0.10322063303167477,0.03710832327456972,0.6024415897532227,0.06804092936465,0.018491090398502667,0.025502527091110526,0.10264730531169163
Fishing and aquaculture,0.06748971789918913,0.14434733864018442,0.23665514674315294,0.09402939810757581,0.15842269378276977,0.21221429601414057,0.07033452024239192,0.06678684303062968,0.09378338193590566,0.29123400438974634,0.024177510939332663,0.11950381725913475,0.265996612800494,0.8780377740823085,nan,0.0958202092617759,0.3043799923356671,0.07504475882176795,0.39345066124960015,0.0651896412646344,0.045917067872459125,0.17273428243061287,0.03148735275976953,0.47058581535113897,0.09865946632816754,0.013079366642783273,0.06725531669883815,0.07477397198940111
"Mining and quarrying, energy producing products",0.15961773566441206,nan,0.21216066957863255,0.03791906722209385,0.17473725688176528,0.19945499530223815,0.011982436664414125,0.9672412483163622,0.09205489094537445,0.5568594706904557,0.07900898438549626,0.3174047630985532,0.5732564270995095,1.2380605967184366,nan,0.09352595284495213,0.35471275803306807,nan,0.909231543813469,0.22976086748714392,0.010616719468405233,0.49042682483315964,0.03410278111737191,2.5753051238013165,1.028555096118911,0.1526240370001188,0.046541226447943625,0.13333876494608243
"Mining and quarrying, non-energy producing products",0.12467325663533121,0.10253954336303832,0.32617708489688874,0.1091376007609854,0.1610315618311183,0.19197728986645105,0.06671031725838347,0.0981253001195954,0.045156461400574395,0.3096599078533605,0.034676519197860016,0.08437734204835778,0.27347012469393084,1.9695220577464936,0.06827996433137792,0.290628922237897,1.1140514957030643,0.10520912584552301,1.3478770272595646,0.3833993696739899,0.06361755715605562,0.08064221395250465,0.04670384817335307,0.8610006560578426,0.40209737393846523,0.1326539203039154,0.06500702541349848,0.17849152959440723
Mining support service activities,0.07523623288189725,0.12857282291286598,0.7760440041805502,0.05749418056963903,0.15869363812275977,0.13706297925165115,0.022556863960015265,0.0746337685906109,0.15281409850590857,0.3072506376188566,0.04286022383274446,0.033529076867580235,0.2936836617322212,0.3480217992028114,0.058500055821779494,0.33803166608807284,0.03393095120857149,0.13642132380691366,0.16809522774545632,0.7901992991035016,0.06617561652246154,0.1476243251893519,0.021688201972660876,1.4350521014908624,0.4590698000281228,0.18842972484247056,0.030108793312769794,0.21712477877470576
"Food products, beverages and tobacco",0.070745918764266,0.06816866013612721,0.25978583249264703,0.06705241958470683,0.13811091108854745,0.1504115351288948,0.05606578175323104,0.11324948499981376,0.12904696856012876,0.4858265695139849,0.02909699568808181,0.13163737206186266,0.3519757367547273,0.4507495813659018,0.035107838286450976,0.08846027816232895,0.22236716358190736,0.07114166230160393,0.29628455448644475,0.12577252251843243,0.03750665582371824,0.09557464935092629,0.03526142006720816,1.9675601406478271,0.17260046562451653,0.04683789861466703,0.05544628455513589,0.12336287776592215
"Textiles, textile products, leather and footwear",0.08312533507451209,0.08850177090918372,0.35690842053230554,0.08032490250316357,0.12130969471960261,0.11715694908682994,0.06124472569141182,0.15175001596019608,0.1333035834325192,0.3743474354362774,0.04109851937683745,0.08758779029360342,0.8193226713944726,0.6979806146118317,0.05189212788701287,0.18219080038206542,0.22752599088651784,0.06332187306778639,0.2929355385261748,0.14943198780049452,0.03232796619896771,0.10116218587158152,0.025496770284646645,0.8255420600497425,0.15583606008968928,0.03678587399243072,0.10993743218241381,0.15032407773351397
Wood and products of wood and cork,0.09981907139923199,0.08382343418311769,0.32905033527428046,0.07682551400385046,0.1593289837955066,0.23538325561511114,0.06258648255879266,0.13061769084169178,0.20467518244068691,0.37532773998282576,0.04841187718360211,0.12436337751121236,0.3734070283191678,0.4907551532393351,0.08527824388968405,0.08093435519726555,0.30994956827191145,0.08903276305111099,0.22847794020806408,0.19175885402337733,0.06878206350878815,0.31644698452014053,0.05377462513141126,1.223513231264772,0.11554309621076676,0.044181562515370254,0.048034674645690716,0.21470451185077252
Paper products and printing,0.10119843316535883,0.08954539824472123,0.31358358115736384,0.06696323752172509,0.16893007050052342,0.20607270306098407,0.08104981660749111,0.18554184672082571,0.12071805203423744,0.31913319719972233,0.023531004240268986,0.12459374264757522,0.28524771531327675,1.1202718883562894,0.0870531331950759,0.11520893718197063,0.2530761968032533,0.09843721503175731,0.4261167223079664,0.5795219501487253,0.05830534861131573,0.13972215467195653,0.04200309105592579,1.9896446113361024,0.12915775918405942,0.04196102488252098,0.0586849134780901,0.17810425772285432
Coke and refined petroleum products,0.3509933665484051,0.39048392980322205,3.329098749671202,0.3855367542368848,0.7314291154939366,5.155820338620972,1.3298675773138116,1.3238674589192831,1.3436625921479282,4.762218740131782,0.029075485182022947,1.8429687081543493,4.54549013371039,6.371992814623198,nan,2.420511561284269,3.9026024444215768,1.25027610974696,8.52233178471877,1.9915212948540377,0.26436696209545885,3.203765097370481,0.3998191709844476,8.525814792580299,1.085231182963557,0.021643816230322632,0.057942517264019645,1.5740207143718974
Chemical and chemical products,0.18151658520181962,0.14625955022969958,4.7853917684838,0.06636672697887228,0.17651539375867703,0.17109955070467675,0.1705875390391133,0.2033546810772995,0.24284373862256745,1.3810755934942436,0.0277337784807826,0.40195150658077816,0.4442606693620029,0.5554721241456119,0.07368369099882989,0.32300388671810676,0.8635979776200597,0.15770409871036936,0.6925258934137626,0.32770541026683603,0.09164784659960702,0.10775361588772354,0.07845884841072731,3.89539696188588,0.22214766171217742,0.07207029963458317,0.07292498514490045,0.37160042915241415
"Pharmaceuticals, medicinal chemical and botanical products",0.043724414201906654,0.025779900855501293,0.13864613032711898,0.01568747124618188,0.12891313242703797,0.029046305567826492,0.03283898848169256,0.05084970973865875,0.06124989266237605,0.26502121827278957,0.012824968271372866,0.09699924838437142,0.17992058592833773,0.19037727955865308,0.03699368874322538,0.04217706743667926,0.0833953429390232,0.047704308085219096,0.3108487316688854,0.054368703281969376,0.03193356813469468,0.03731936309931178,0.016104140142469,2.259578216140521,0.07614823059539325,0.035476069078697235,0.0703790416333202,0.12047263281215932
Rubber and plastics products,0.12983122886664422,0.11347676055524941,0.4306016946439745,0.08687015860070854,0.1506485139578707,0.16840972931532336,0.0864813916350756,0.14107255494842585,0.19784353384061526,0.4224219402414745,0.03246574270089066,0.1642572134164706,0.32296804881598495,0.5341126922719218,0.11288401996228176,0.15146949740470703,0.3746695333067892,0.1246815161581818,0.5539079324378029,0.22790885927468277,0.07747256671351722,0.11424872207834713,0.06077059191106808,1.5286262789643115,0.18910417259712975,0.08320150652676753,0.06647559472084968,0.2847494244614747
Other non-metallic mineral products,0.10765193916025004,0.15230814414620453,0.39351228957445056,0.13365481874916546,0.19063126211547754,0.20373468321629698,0.08597908228060473,0.2527566597016483,0.20876884714686722,1.758930841862276,0.07626497031406382,0.20330221611240284,0.3929144555304935,4.407189729958347,0.13420004625608264,0.16196212037783914,0.8782728281351352,0.12494897505578159,1.207974568211919,0.5677289608831679,0.08189223525414856,0.3047883280403104,0.08058427787720288,8.025455532746767,0.18183758570303687,0.16231930941556894,0.07817621646499757,0.26830308924321533
Basic metals,0.24877151668494077,0.27315058287627375,0.5106136545092662,0.15481992289522717,0.23624561350212717,0.22589147893541767,0.2349964616923726,0.5792891457193369,0.2840179737904033,1.9049460859276783,0.06474451301042483,0.5256442881961282,0.4463809653403912,0.7584689737726539,0.2037814800709647,0.6113988791999074,1.8813355749735763,0.15542099343773616,2.2500034009764205,0.5815296757259595,0.1916134963885811,0.21012844518403795,0.19035583159792896,4.703643147358756,0.25882766467433027,0.12849150834238274,0.05252766858140042,0.47515023538973455
Fabricated metal products,0.1383661563242435,0.12225166154218475,0.31062529507923425,0.09802965569387016,0.18820753373250196,0.13111251811546046,0.09281140224238399,0.1484366532471364,0.21763083961665136,0.45958864392256543,0.049412690430723785,0.14132432907894918,0.2842666161021927,0.3982035126807388,0.11734773166533227,0.13414423516378407,0.4230423031842483,0.1061460926198356,0.38677757072553387,0.24834564168922518,0.1015003841394692,0.1316340443971675,0.049393219245718406,1.0715137325819917,0.14740657091808965,0.1509849664690227,0.10204424466999384,0.26689331559301105
"Computer, electronic and optical equipment",0.051261173827689896,0.05347620746590681,0.19627352808321594,0.03795428345376268,0.06312450931441824,0.06661950195972619,0.03810758968473157,0.05434311733589376,0.09987539498456519,0.10384588442510266,0.04626270170086885,0.08520341037253988,0.15350762618319283,0.2137050499313545,0.033571524445129806,0.03479548260251973,0.1822685342910553,0.053408106571539576,0.14205713603912615,0.08707042115408661,0.03519888765239245,0.04059169528954486,0.0190457744552579,0.5828432266153869,0.05038003499073317,0.05841647720792763,0.0846564111603769,0.14439130540353518
Electrical equipment,0.09021393568568967,0.12153858741396784,0.26215047142579556,0.05695242459576002,0.11323419909364844,0.1023294574784259,0.0719991514027734,0.09062366557062354,0.19380906159522768,0.3159474209370336,0.05225159335738016,0.12755048585280812,0.23690072615778,0.47951447137580244,0.09777517709575088,0.09333706278035787,0.3171541467778613,0.10736854847445247,0.2541241918494888,0.17009924606941157,0.08114002495805021,0.09252594524609105,0.041206946760262125,1.265780412035927,0.1266294760100496,0.061603639127354656,0.0655181360116746,0.2074496807893273
"Machinery and equipment, nec ",0.08440802906379086,0.08248061914871432,0.31477798369596743,0.06831030574143498,0.14321758389168923,0.09909996258766884,0.07160409904854693,0.11125447020234132,0.22721025928694422,0.2580689038954203,0.055722090651775094,0.1180188625119487,0.24090827050795457,0.38216706842457276,0.0985392201654605,0.06728912367071713,0.3152788781006125,0.09824413644707575,0.4038393585151122,0.22742962855313714,0.06871244612326112,0.07442938813578348,0.04137727874839303,1.3210504396038103,0.11819528605742334,0.05485888617267273,0.0847821595386794,0.2641481354978551
"Motor vehicles, trailers and semi-trailers",0.09098187663352342,0.07012960590557336,0.20776063742870995,0.07136388629748244,0.09410085808509665,0.09512025118342658,0.0752238274503336,0.09118885361679348,0.14032499204849103,0.18944907974764125,0.04541606280785745,0.10696517664894037,0.495574405465069,0.2806612919992601,0.08611701079835814,0.07005758319737425,0.22813491388683954,0.07585997956284085,0.2009432373535256,0.20571913656781413,0.07106385033968503,0.07588912920609824,0.05025812887687474,0.7589556019743677,0.08713714113103072,0.05591716628612585,0.07372866479353289,0.20931706802821615
Other transport equipment,0.088920035560052,0.053949002765454876,0.22067049237739508,0.0715676420040682,0.11224891898505808,0.1831920221869977,0.051509748068906555,0.09904796519849626,0.358060507075011,0.49521231722431436,0.05178137468535532,0.0930519881989076,0.2825177843936434,0.39780603996096797,0.09579428122398957,0.14151647548985,0.2732865596117102,0.08594367461601166,0.46526875178243227,0.17844380804797466,0.0453146364961148,0.07082909248400196,0.04135899908240845,1.2070070536982729,0.14507349966601926,0.05046819996677184,0.051158132083273286,0.18123886664151861
